company_name,job_title,role_category,company_sector,city,region,technical_skills_required,employment_type,work_mode,experience_required_years,education_required,English_required_level,Danish_required_level,salary_min_dkk_monthly,salary_max_dkk_monthly,experience_level,soft_skills_required
Morningscore,Remote DevOps Engineer,DevOps,Technology,Odense,Southern Denmark,"Docker, Kubernetes, AWS, CI/CD Pipelines, Linux, Terraform, Git, Monitoring & Logging, Bash Scripting, Infrastructure as Code, Jenkins, Cloud Networking",Full-time,Remote,3,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Communication, Self-Management, Collaboration, Problem Solving, Ownership, Adaptability, Reliability Mindset, Time Management, Critical Thinking, Accountability, Continuous Learning, Cross-team Collaboration"
DBtune,DevOps Engineer with Database Experience,DevOps,Technology,Copenhagen,Capital Region,"Docker, Kubernetes, PostgreSQL, CI/CD Pipelines, Linux, Terraform, Database Monitoring, AWS, Backup & Recovery, Bash Scripting, Jenkins, Infrastructure as Code",Full-time,Hybrid,5,Bachelor's Degree,Fluent,Danish not required,65000,75000,Senior Level,"Problem Solving, Collaboration, Attention to Detail, Reliability Mindset, Communication, Analytical Thinking, Ownership, Critical Thinking, Adaptability, Responsibility, Continuous Learning, Stakeholder Collaboration"
Assembly Voting,DevOps Engineer,DevOps,Technology,Copenhagen,Capital Region,"Docker, Kubernetes, Linux, Terraform, CI/CD Pipelines, AWS, Jenkins, Git, Monitoring & Logging, Bash Scripting, Infrastructure as Code, Ansible",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Problem Solving, Reliability Mindset, Collaboration, Communication, Adaptability, Ownership, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
Autoflows,Junior DevOps Engineer,DevOps,Other,Copenhagen,Capital Region,"Linux, Docker, Git, Bash Scripting, CI/CD Basics, Jenkins, Kubernetes Basics, Monitoring Tools, AWS Basics, Networking Fundamentals",Full-time,On-site,1,Bachelor's Degree,Advanced,Basic,42000,52000,Entry Level,"Collaboration, Problem Solving, Willingness to Learn, Adaptability, Communication, Teamwork, Curiosity, Attention to Detail, Responsibility, Analytical Thinking"
Cludo,DevOps Engineer,DevOps,Technology,Copenhagen,Capital Region,"Kubernetes, Docker, Linux, Terraform, CI/CD Pipelines, AWS, Jenkins, Git, Monitoring & Logging, Bash Scripting, Infrastructure as Code, Ansible",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Collaboration, Problem Solving, Willingness to Learn, Adaptability, Communication, Teamwork, Curiosity, Attention to Detail, Responsibility, Analytical Thinking"
BifrostConnect,Cloud DevOps Engineer,DevOps,Technology,Copenhagen,Capital Region,"AWS, Kubernetes, Terraform, Docker, CI/CD Pipelines, Linux, Jenkins, Infrastructure as Code, Git, Monitoring & Logging, Cloud Networking, Automation Scripts",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Problem Solving, Adaptability, Reliability Mindset, Collaboration, Communication, Ownership, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
Monthio,Cloud Engineer,DevOps,Finance,Copenhagen,Capital Region,"AWS, Azure, Terraform, Kubernetes, Docker, Cloud Networking, Linux, Infrastructure as Code, CI/CD Pipelines, Monitoring Tools, Cloud Security, Scripting",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Adaptability, Problem Solving, Reliability Mindset, Collaboration, Communication, Ownership, Analytical Thinking, Critical Thinking, Continuous Learning, Responsibility, Stakeholder Collaboration, Decision Making"
Shine / Ageras,Senior Cloud Platform Engineer,DevOps,Finance,Copenhagen,Capital Region,"AWS, Kubernetes, Platform Architecture, Terraform, Cloud Security, CI/CD Architecture, Infrastructure as Code, Docker, Monitoring & Observability, GitOps, Distributed Systems, Azure, Linux, Automation Frameworks",Full-time,Hybrid,4,Bachelor's Degree,Fluent,Danish not required,65000,75000,Senior Level,"System Design Thinking, Leadership, Reliability Mindset, Strategic Thinking, Ownership, Cross-team Collaboration, Decision Making, Mentoring, Problem Solving, Stakeholder Communication, Critical Thinking, Project Leadership, Adaptability, Communication"
Veo Technologies,Senior Platform Engineer,DevOps,Technology,Copenhagen,Capital Region,"Kubernetes, Platform Architecture, Terraform, AWS, CI/CD Architecture, Docker, GitOps, Infrastructure as Code, Monitoring & Observability, Linux, Distributed Systems, Cloud Security, Automation Frameworks, Azure",Full-time,Hybrid,6,Bachelor's Degree,Fluent,Danish not required,65000,75000,Senior Level,"Leadership, System Design Thinking, Ownership, Reliability Mindset, Strategic Thinking, Cross-team Collaboration, Mentoring, Problem Solving, Decision Making, Stakeholder Communication, Critical Thinking, Project Leadership, Adaptability, Communication"
Unik,DevOps Engineer,DevOps,Other,Vejle,Southern Denmark,"Docker, Kubernetes, Linux, Terraform, CI/CD Pipelines, AWS, Jenkins, Git, Monitoring & Logging, Infrastructure as Code, Bash Scripting, Ansible",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Intermediate,55000,65000,Mid Level,"Reliability Mindset, Problem Solving, Collaboration, Adaptability, Communication, Ownership, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
TDC NET,Workload Lead - Kubernetes and Containerization,DevOps,Other,Copenhagen,Capital Region,"Kubernetes, Containerization, Platform Engineering, Docker, OpenShift, Helm, CI/CD Architecture, Cloud Infrastructure, GitOps, Terraform, Monitoring & Observability, Linux, Service Mesh, Distributed Systems",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Intermediate,65000,75000,Senior Level,"Leadership, System Design Thinking, Cross-team Collaboration, Strategic Thinking, Reliability Mindset, Ownership, Mentoring, Problem Solving, Stakeholder Communication, Decision Making, Critical Thinking, Project Leadership, Adaptability, Communication"
Newcode.ai,Senior DevOps Engineer,DevOps,Technology,Copenhagen,Capital Region,"Kubernetes, Terraform, AWS, CI/CD Architecture, Docker, Infrastructure as Code, Cloud Security, Monitoring & Observability, GitOps, Linux, Jenkins, Distributed Systems, Automation Frameworks, Azure",Full-time,Hybrid,5,Bachelor's Degree,Fluent,Danish not required,65000,75000,Senior Level,"Leadership, Reliability Mindset, Strategic Thinking, Ownership, Cross-team Collaboration, Problem Solving, Mentoring, Decision Making, Stakeholder Communication, Critical Thinking, Adaptability, Project Leadership, Communication, System Design Thinking"
Netic,Cloud Implementation and Operations Consultant,DevOps,Consulting,Copenhagen,Capital Region,"AWS, Azure, Cloud Infrastructure, Linux, Terraform, Monitoring Tools, CI/CD Pipelines, Cloud Networking, Infrastructure as Code, Docker, Scripting, IT Operations",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Intermediate,55000,65000,Mid Level,"Communication, Problem Solving, Stakeholder Collaboration, Adaptability, Business Understanding, Reliability Mindset, Analytical Thinking, Ownership, Critical Thinking, Collaboration, Continuous Learning, Presentation Skills"
BESTSELLER,DevOps Engineer,DevOps,Retail,Aarhus,Central Denmark,"Docker, Kubernetes, Terraform, Linux, CI/CD Pipelines, AWS, Jenkins, Git, Monitoring & Logging, Infrastructure as Code, Bash Scripting, Ansible",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Problem Solving, Collaboration, Reliability Mindset, Communication, Adaptability, Ownership, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
Trifork,Student Developer - Infrastructure,DevOps,Technology,Aarhus,Central Denmark,"Linux, Git, Python Basics, Docker Basics, Bash Scripting, Networking Fundamentals, CI/CD Basics, Cloud Basics, Monitoring Tools, SQL Basics",Part-time,Hybrid,0,Bachelor's Degree,Intermediate,Basic,42000,52000,Entry Level,"Willingness to Learn, Problem Solving, Collaboration, Curiosity, Adaptability, Communication, Teamwork, Attention to Detail, Responsibility, Analytical Thinking"
Danish Crown,Senior BI Developer,BI,Other,Randers,Central Denmark,"Power BI, Data Modeling, SQL, DAX, Data Warehousing, ETL Architecture, Azure Synapse, Dashboard Strategy, SSIS, Business Intelligence, Performance Optimization, Reporting Solutions, Cloud BI Platforms, Enterprise Analytics",Full-time,Hybrid,5,Bachelor's Degree,Advanced,Intermediate,58000,68000,Senior Level,"Leadership, Data Storytelling, Business Understanding, Stakeholder Communication, Ownership, Problem Solving, Mentoring, Critical Thinking, Cross-team Collaboration, Decision Making, Attention to Detail, Strategic Thinking, Presentation Skills, Communication"
DESMI A/S,Junior BI Analyst,BI,Other,Aalborg,North Denmark,"Power BI, Excel, SQL, Data Visualization, Dashboard Reporting, Data Cleaning, Google Sheets, Basic DAX, KPI Tracking, Business Intelligence",Full-time,Hybrid,1,Bachelor's Degree,Intermediate,Basic,38000,48000,Entry Level,"Analytical Thinking, Attention to Detail, Communication, Curiosity, Problem Solving, Collaboration, Willingness to Learn, Teamwork, Adaptability, Data Storytelling"
Proteams,Power BI Developer,BI,Technology,Copenhagen,Capital Region,"Power BI, DAX, SQL, Data Modeling, Dashboard Development, Power Query, Data Visualization, ETL Processes, Excel, Reporting Solutions, Business Intelligence, Performance Optimization",Full-time,Remote,4,Bachelor's Degree,Advanced,Danish not required,58000,68000,Senior Level,"Data Storytelling, Analytical Thinking, Problem Solving, Attention to Detail, Business Understanding, Communication, Stakeholder Collaboration, Critical Thinking, Collaboration, Adaptability, Presentation Skills, Ownership"
Tandem,Business Intelligence Consultant,BI,Consulting,Copenhagen,Capital Region,"Power BI, SQL, Data Modeling, Dashboard Development, ETL Processes, Data Visualization, DAX, Business Intelligence, Azure Data Factory, Reporting Solutions, Excel, KPI Analysis",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Intermediate,48000,58000,Mid Level,"Business Understanding, Stakeholder Communication, Problem Solving, Data Storytelling, Communication, Analytical Thinking, Collaboration, Critical Thinking, Presentation Skills, Adaptability, Ownership, Decision Making"
Visma Plandisc,Business Intelligence Analyst,BI,Other,Aarhus,Central Denmark,"Power BI, SQL, Data Visualization, Excel, Dashboard Development, DAX, Data Modeling, Business Intelligence, KPI Reporting, Tableau, Data Analysis, Reporting Tools",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Basic,48000,58000,Mid Level,"Analytical Thinking, Business Understanding, Data Storytelling, Communication, Problem Solving, Attention to Detail, Stakeholder Collaboration, Critical Thinking, Collaboration, Adaptability, Presentation Skills, Decision Making"
Flatpay,BI Analyst,BI,Finance,Herlev,Capital Region,"Power BI, SQL, Excel, Data Visualization, Dashboard Development, DAX, Data Modeling, KPI Reporting, Business Intelligence, Tableau, Reporting Tools, Data Analysis",Full-time,On-site,2,Bachelor's Degree,Advanced,Basic,48000,58000,Mid Level,"Business Understanding, Analytical Thinking, Data Storytelling, Problem Solving, Communication, Attention to Detail, Stakeholder Collaboration, Critical Thinking, Collaboration, Adaptability, Presentation Skills, Decision Making"
LogPoint,Student Assistant - Commercial Data Analyst Power BI,BI,Other,Copenhagen,Capital Region,"Power BI, Excel, SQL, Data Visualization, Dashboard Reporting, KPI Tracking, Data Cleaning, Google Sheets, Basic DAX, Reporting Tools",Part-time,Hybrid,0,Bachelor's Degree,Intermediate,Danish not required,38000,48000,Entry Level,"Communication, Analytical Thinking, Willingness to Learn, Attention to Detail, Collaboration, Curiosity, Problem Solving, Teamwork, Adaptability, Data Storytelling"
Adaptive Business Solutions,BI Specialist / Power BI Developer,BI,Consulting,Odense,Southern Denmark,"Power BI, DAX, SQL, Data Modeling, Dashboard Development, Power Query, Data Visualization, ETL Processes, KPI Reporting, Business Intelligence, Excel, Performance Optimization",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Intermediate,48000,58000,Mid Level,"Data Storytelling, Business Understanding, Analytical Thinking, Problem Solving, Stakeholder Communication, Attention to Detail, Communication, Critical Thinking, Collaboration, Adaptability, Presentation Skills, Ownership"
Too Good To Go,Finance Analyst - BI and Automation,BI,Other,Copenhagen,Capital Region,"Power BI, Excel, SQL, Financial Reporting, Power Query, Data Visualization, Automation Tools, KPI Analysis, Dashboard Development, Business Intelligence, DAX, Process Automation",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Danish not required,48000,58000,Mid Level,"Analytical Thinking, Business Understanding, Problem Solving, Attention to Detail, Data Storytelling, Communication, Stakeholder Collaboration, Critical Thinking, Adaptability, Collaboration, Decision Making, Process Improvement"
Pandora,RGM and Pricing Analyst,BI,Retail,Copenhagen,Capital Region,"Excel, SQL, Power BI, Pricing Analysis, Revenue Management, Data Visualization, Forecasting, KPI Analysis, Business Intelligence, Financial Modeling, Dashboard Development, Commercial Reporting",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Danish not required,48000,58000,Mid Level,"Analytical Thinking, Business Understanding, Problem Solving, Attention to Detail, Critical Thinking, Communication, Stakeholder Collaboration, Decision Making, Data Storytelling, Adaptability, Collaboration, Commercial Mindset"
Saxo Bank,Student BI Analyst,BI,Finance,Copenhagen,Capital Region,"Power BI, Excel, SQL, Data Visualization, Dashboard Reporting, KPI Tracking, Data Cleaning, Google Sheets, Basic DAX, Reporting Tools",Part-time,Hybrid,0,Bachelor's Degree,Advanced,Danish not required,38000,48000,Entry Level,"Analytical Thinking, Willingness to Learn, Attention to Detail, Communication, Collaboration, Curiosity, Problem Solving, Teamwork, Adaptability, Data Storytelling"
Abacus Medicine,Commercial BI Analyst,BI,Other,Copenhagen,Capital Region,"Power BI, SQL, Excel, Data Visualization, Business Intelligence, Dashboard Development, Data Modeling, Commercial Reporting, DAX, Forecasting, Tableau, KPI Analysis",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Basic,48000,58000,Mid Level,"Business Understanding, Analytical Thinking, Data Storytelling, Commercial Mindset, Problem Solving, Stakeholder Collaboration, Communication, Attention to Detail, Critical Thinking, Decision Making, Collaboration, Adaptability"
Tryg,Junior Analyst - Group Insights,BI,Other,Ballerup,Capital Region,"Excel, SQL, Power BI, Data Visualization, Google Sheets, Basic Statistics, Dashboard Reporting, Data Cleaning, Survey Analysis, Presentation Tools",Part-time,Hybrid,1,Bachelor's Degree,Intermediate,Intermediate,38000,48000,Entry Level,"Analytical Thinking, Curiosity, Communication, Attention to Detail, Collaboration, Problem Solving, Willingness to Learn, Teamwork, Adaptability, Critical Thinking"
VML MAP,BI Data Engineer,BI,Other,Copenhagen,Capital Region,"SQL, ETL Pipelines, Data Warehousing, Power BI, Python, Data Modeling, PostgreSQL, SSIS, Azure Data Factory, Apache Spark, Data Integration, Dashboard Optimization",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Danish not required,58000,68000,Senior Level,"Problem Solving, Data Storytelling, Attention to Detail, Business Understanding, Communication, Collaboration, Critical Thinking, Stakeholder Collaboration, Adaptability, Analytical Thinking, Presentation Skills, Ownership"
IQVIA,Business Data Analyst,BI,Other,Copenhagen,Capital Region,"SQL, Power BI, Excel, Data Visualization, Business Analysis, Dashboard Development, Python, Statistical Analysis, Data Modeling, Tableau, Reporting Tools, Data Cleaning",Full-time,Remote,3,Bachelor's Degree,Advanced,Basic,48000,58000,Mid Level,"Business Understanding, Analytical Thinking, Problem Solving, Communication, Data Storytelling, Attention to Detail, Stakeholder Collaboration, Critical Thinking, Collaboration, Adaptability, Decision Making, Curiosity"
Solita,Data and BI Consultant,BI,Consulting,Aarhus,Central Denmark,"Power BI, SQL, Data Modeling, ETL Processes, Dashboard Development, Python, Business Intelligence, Data Visualization, Power Query, Azure Data Factory, Reporting Solutions, Excel",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Intermediate,58000,68000,Senior Level,"Business Understanding, Stakeholder Communication, Problem Solving, Data Storytelling, Analytical Thinking, Communication, Collaboration, Critical Thinking, Presentation Skills, Adaptability, Ownership, Decision Making"
Systematic,Data Engineer,Data Engineer,Technology,Aarhus,Central Denmark,"Python, SQL, Apache Spark, ETL Pipelines, PostgreSQL, Docker, Data Warehousing, Apache Kafka, Airflow, Cloud Platforms, Data Modeling, Linux, Git",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Basic,50000,62000,Mid Level,"Problem Solving, Analytical Thinking, Collaboration, Attention to Detail, Reliability Mindset, Communication, Ownership, Adaptability, Critical Thinking, Continuous Learning, Stakeholder Collaboration, Responsibility"
Bankdata,BI Developer,BI,Finance,Aarhus,Central Denmark,"Power BI, SQL, Data Modeling, DAX, Dashboard Development, ETL Processes, Power Query, Data Visualization, SSRS, Excel, Business Intelligence, Database Management",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Intermediate,48000,58000,Mid Level,"Data Storytelling, Analytical Thinking, Problem Solving, Business Understanding, Attention to Detail, Stakeholder Communication, Communication, Critical Thinking, Collaboration, Adaptability, Presentation Skills, Ownership"
Delegate,Power BI Consultant,BI,Consulting,Aarhus,Central Denmark,"Power BI, DAX, SQL, Data Modeling, Dashboard Development, Power Query, Data Visualization, Excel, ETL Processes, Business Intelligence, Azure Data Factory, Reporting Solutions",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Intermediate,58000,68000,Senior Level,"Stakeholder Communication, Data Storytelling, Business Understanding, Problem Solving, Communication, Analytical Thinking, Presentation Skills, Collaboration, Critical Thinking, Adaptability, Ownership, Decision Making"
Trifork,DevOps Engineer,DevOps,Technology,Aarhus,Central Denmark,"Docker, Kubernetes, CI/CD, Linux, Git, Jenkins, Terraform, AWS, Bash Scripting, Monitoring Tools, Ansible, Containerization",Full-time,Hybrid,3,Bachelor's Degree,Advanced,Basic,55000,65000,Mid Level,"Reliability Mindset, Problem Solving, Collaboration, Communication, Ownership, Adaptability, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
Mjølner Informatics,Cloud DevOps Engineer,DevOps,Technology,Aarhus,Central Denmark,"AWS, Kubernetes, Docker, Terraform, CI/CD, Linux, Jenkins, Monitoring Tools, Git, Azure, Bash Scripting, Infrastructure as Code",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Intermediate,65000,75000,Senior Level,"Reliability Mindset, Problem Solving, Adaptability, Collaboration, Communication, Ownership, Critical Thinking, Continuous Learning, Analytical Thinking, Responsibility, Stakeholder Collaboration, Decision Making"
Vestas,Machine Learning Engineer,ML/AI,Energy,Aarhus,Central Denmark,"Python, Scikit-learn, TensorFlow, SQL, Pandas, PyTorch, Feature Engineering, Model Deployment, Data Preprocessing, ML Algorithms, Docker, Git",Full-time,Hybrid,3,Master's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Problem Solving, Analytical Thinking, Critical Thinking, Research Mindset, Collaboration, Curiosity, Communication, Attention to Detail, Adaptability, Continuous Learning, Ownership, Business Understanding"
Lunar,Data Analyst,Data Analyst,Finance,Aarhus,Central Denmark,"SQL, Power BI, Python, Data Visualization, Excel, Pandas, Tableau, Data Cleaning, Business Analysis, Statistical Analysis, Dashboard Development, ETL Basics",Full-time,Hybrid,2,Bachelor's Degree,Advanced,Basic,45000,55000,Mid Level,"Analytical Thinking, Problem Solving, Communication, Attention to Detail, Data Storytelling, Business Understanding, Collaboration, Critical Thinking, Stakeholder Communication, Adaptability, Curiosity, Decision Making"
Kamstrup,Junior Data Analyst,Data Analyst,Energy,Aarhus,Central Denmark,"Excel, SQL, Power BI, Data Cleaning, Python, Pivot Tables, Data Visualization, Google Sheets, Basic Statistics, Pandas",Full-time,Hybrid,1,Bachelor's Degree,Intermediate,Basic,35000,45000,Entry Level,"Curiosity, Analytical Thinking, Attention to Detail, Communication, Problem Solving, Collaboration, Willingness to Learn, Teamwork, Adaptability, Critical Thinking"
